,sido,name,address,phone
35,충남 천안시 동남구,천안신부점,"충청남도 천안시 동남구 만남로 26 (신부동, 대영빌딩) 4~5층",041-566-5085
36,서울 강서구,목동삼성쉐르빌점,"서울특별시 양천구 목동동로 189 (신정동, 삼성쉐르빌1) 1층 101,102,103호",02-2652-2030
37,경기 평택시,삼성전자평택캠퍼스점,경기도 평택시 삼성로 144 고덕면 여염리 1648,031-8094-9981
38,충남 아산시,천안아산역사점,충청남도 아산시 배방읍 희망로 100 (천안아산역) 3층 맞이방,.
39,경기 성남시 분당구,분당미금점,경기도 성남시 분당구 미금일로90번길 24 (구미동) B1F ~ 1F,031-713-7739
40,부산 서구,부산서구청점,부산광역시 서구 보수대로 9 (충무동1가 3-1) 바른빌딩 1층 104호,070-4647-1455
41,대구 북구,대구연경점,대구광역시 북구 동화천로 229 (연경동) 1층~2층,053-982-6877
42,울산 울주군,울산율리점,울산광역시 울주군 청량읍 율리영해1길 46 1층,052-221-1030
43,경기 고양시 덕양구,원흥역점,경기 고양시 덕양구 권율대로 690 원흥동 635번지 201동 108호~111호,031-967-0302
44,서울 강남구,강남우리라운지점,서울특별시 강남구 테헤란로 301 역삼동 701-02 삼정빌딩 1층,02-566-1002
45,경남 창원시 진해구,진해경화점,경상남도 창원시 진해구 조천북로 76 (경화동) .,055-547-9906
46,서울 동작구,중앙대점,서울특별시 동작구 흑석로 77 (흑석동) 할리스 1~4층,02-3280-3280
47,경기 고양시 덕양구,고양신원점,경기도 고양시 덕양구 권율대로 896-19 .,02-381-7666
48,경기 부천시,부천심곡점,경기도 부천시 장말로 376  심곡동 355-1,.
49,제주 제주시,제주연북로점,제주특별자치도 제주시  오남로 166 (오라이동 1550-11),070-4123-5111
